id,name
0,ドライ・ジン
1,トニックウォーター
2,ブルーキュラソー
3,オレンジジュース
4,グレープフルーツジュース
5,レモンジュース
6,グレナデンシロップ
7,ライムジュース
8,ソーダ
9,アンゴスチュラ・アロマティック・ビターズ
10,シュガーシロップ
11,卵白
12,好みのリキュール
13,ドライ・ベルモット
14,パルフェタムール
15,パイナップルジュース
16,ホワイトキュラソー
17,アマレット
18,カンパリ
19,スイート・ベルモット
20,ホワイト・ミントリキュール
21,オレンジビターズ
22,クレーム・ド・カカオブラウン
23,生クリーム
24,ディサローノ・アマレット
25,ブラッド・オレンジジュース
26,カシスリキュール
27,クランベリージュース
28,ピーチリキュール
29,スコッチ・ウィスキー
30,カルバドス
31,グリーン・ミントリキュール
32,砂糖
33,トマトジュース
34,チェリーブランデー
35,ウォッカ
36,コーディアル・ライムジュース
37,ライムスライス
38,タンカレー No.10
39,コアントロー
40,モナン グリーンアップルシロップ
41,モナン ブルーキュラソーシロップ
42,タンカレー
43,ジンジャーエール
44,ライチリキュール
45,チンザノ・ベルモット・ロッソ
46,チンザノ・ベルモット・エクストラドライ
47,オレンジキュラソー
48,卵黄
49,烏龍茶
50,グリーンアップルシロップ
51,ブランデー
52,コーラ
53,カルーア
54,パッソア
55,フランボワーズリキュール
56,アプリコットブランデー
57,ホットコーヒー
58,ココナッツリキュール
59,塩
60,アイスコーヒー
61,ココナッツミルク
62,レッドブル
63,カットオレンジ
64,ホワイト・ラム
65,ゴールド・ラム
66,サザンカンフォート
67,クラッシュドアイス
68,ダーク・ラム
69,角砂糖
70,熱湯
71,バター
72,ホットミルク
73,蜂蜜
74,ホット・アップルジュース
75,アロマティックビターズ
76,ココアパウダー
77,テキーラ
78,クレーム・ド・カシス
79,クレーム・ド・カカオホワイト
80,バーボン・ウィスキー
81,牛乳
82,ウイスキー
83,ブラックチョコレートリキュール
84,シナモンパウダー
85,テネシー・ウイスキー
86,豆乳
87,アイリッシュ・ウィスキー
88,カカオリキュール
89,カナディアン・ウイスキー
90,水
91,カルピス
92,ガリアーノ
93,ライ・ウイスキー
94,コニャック
95,グレープジュース
96,コーヒー
97,ナツメグパウダー
98,グラニュー糖
99,シャンパン
100,レモンスライス
101,紅茶リキュール
102,ラム
103,マリブ
104,アップルジュース
105,ヨーグリート
106,ミドリ
107,緑茶
108,マンゴージュース
109,インスタントコーヒー
110,ホイップクリーム
111,エスプレッソ・コーヒー
112,コーヒーリキュール
113,チョコレートシロップ
114,マンゴヤン
115,ディタ
116,スプライト
117,アセロラジュース
118,アイスティー
119,スイート＆サワーミックス
120,飲むヨーグルト
121,白ワイン
122,ベイリーズ
123,ジャスミン茶
124,ビール
125,パッションフルーツリキュール
126,ヨーグルトリキュール
127,イエーガーマイスター
128,モーツァルト・ブラックチョコレート
129,モーツァルト・チョコレート・クリーム
130,チョコレートリキュール
131,バニラアイスクリーム
132,グランマルニエ
133,ホワイトチョコレートリキュール
134,モーツァルト・ホワイトチョコレート
135,ストロベリーリキュール
136,ココナッツシロップ
137,チェリーリキュール
138,ルクサルド・マラスキーノ
139,マラスキーノリキュール
140,トリプルセック
141,クレーム・ド・フランボワーズ
142,赤ワイン
143,スロージン
144,ティフィン
145,バナナ
146,ホット豆乳
147,ミスティア
148,プレーンヨーグルト
149,メロンリキュール
150,バナナリキュール
151,イエロー・バナナリキュール
152,グリーン・バナナリキュール
153,ピンクグレープフルーツリキュール
154,苺
155,アブサン
156,アドヴォカート
157,バニラエッセンス
158,アマルーラ・クリーム
159,ココナッツパウダー
160,プルシア
161,フランジェリコ
162,ヘーゼルナッツリキュール
163,ドランブイ
164,ピンクグレープフルーツジュース
165,ベネディクティン
166,全卵
167,コカレロ
168,エナジードリンク
169,カットライム
170,フレッシュ・ライムジュース
171,ホット赤ワイン
172,ポートワイン
173,ルビー・ポート
174,ピーチ・ネクター
175,トゥニー・ポート
176,ホワイト・ポート
177,ロゼワイン
178,スパークリングワイン
179,モナン ホワイトピーチシロップ
180,エールビール
181,黒ビール
182,加糖ヨーグルト
183,日本酒
184,焼酎
185,菊正宗
186,ヨーグルト
187,梅酒
188,抹茶パウダー
189,芋焼酎
190,ライム
191,ミントの葉
192,麦焼酎
193,杏露酒
194,甲類焼酎
195,巨峰
196,モナン アマレットシロップ
197,モナン ライチシロップ
198,モナン カシスシロップ
199,カシスシロップ
200,モナン マンゴーシロップ
201,キャプテン・巨峰シロップ
202,ライチシロップ
203,ピーチシロップ
204,マンゴーシロップ
205,モナン ココナッツシロップ
206,モナン チョコレートシロップ
207,モナン キャラメルシロップ
208,紅茶
